z,mu,mu_sig,mB,mB_sig
0.95,43.78,0.42,24.55,0.13
0.3373,41.18,0.12,21.97,0.03
0.91,44.41,0.39,24.71,0.11
0.263,40.64,0.12,21.68,0.03
0.643,43.01,0.16,23.8,0.07
0.691,43.14,0.17,24.26,0.07
0.357,41.36,0.13,22.42,0.04
0.721,43.13,0.19,23.9,0.08
0.581,42.79,0.15,23.35,0.06
0.6268,42.71,0.15,23.39,0.06
0.818,43.57,0.56,24.65,0.1
0.449,41.9,0.15,22.55,0.05
0.688,43.04,0.18,23.63,0.07
0.87,44.08,0.5,24.46,0.11
0.5043,42.3,0.14,22.98,0.05
0.591,43.31,0.27,23.4,0.08
0.426,41.81,0.2,22.68,0.05
0.329,41.38,0.25,22.5,0.21
0.531,43.06,0.3,23.23,0.06
0.583,42.6,0.46,23.59,0.1
0.519,43.09,0.39,23.64,0.09
0.401,41.62,0.26,22.48,0.07
0.34,41.1,0.22,21.91,0.18
0.436,41.84,0.22,22.5,0.05
0.363,41.4,0.21,21.89,0.07
0.436,41.92,0.21,22.5,0.05
0.309,41.29,0.21,22.36,0.07
0.342,41.33,0.2,22.19,0.06
0.332,41.24,0.22,22.52,0.06
0.469,42.09,0.22,22.55,0.05
0.239,40.47,0.19,21.7,0.05
0.352,41.44,0.22,22.8,0.06
0.612,42.26,0.82,24.05,0.19
0.631,42.57,0.27,23.39,0.07
0.645,42.83,0.23,23.38,0.07
0.429,41.83,0.22,22.65,0.05
0.497,42.09,0.23,22.9,0.07
0.539,42.36,0.24,23.29,0.07
0.561,42.6,0.25,23.09,0.06
0.41,41.35,0.22,22.37,0.05
0.412,41.78,0.3,23.06,0.11
0.599,42.85,0.29,23.75,0.09
0.619,42.92,0.25,23.45,0.08
0.422,41.67,0.24,22.45,0.07
0.54,42.57,0.25,23.3,0.06
0.401,42.07,0.31,23.07,0.08
0.218,40.32,0.2,21.32,0.07
0.633,42.23,0.3,23.18,0.09
0.383,41.59,0.23,22.33,0.08
0.302,41.57,0.26,23.28,0.14
0.34,41.14,0.2,22.27,0.06
0.51,41.92,0.26,22.79,0.07
0.421,41.97,0.23,23.17,0.12
0.399,41.71,0.28,23.46,0.11
0.493,42.12,0.23,22.92,0.06
0.687,42.83,0.28,23.4,0.09
0.502,41.9,0.31,23.45,0.13
0.687,42.82,0.25,23.52,0.08
0.495,42.2,0.25,22.9,0.06
0.603,42.64,0.27,23.48,0.07
0.421,42.04,0.28,22.44,0.08
0.348,41.55,0.2,22.65,0.05
0.213,40.34,0.2,22.01,0.09
0.344,41.07,0.2,21.71,0.05
0.271,40.55,0.21,21.84,0.07
0.564,42.38,0.4,22.89,0.13
0.274,40.77,0.22,21.94,0.09
0.582,43.21,0.28,23.81,0.07
0.68,42.83,0.25,23.73,0.07
0.401,41.93,0.24,23.34,0.07
0.416,41.75,0.3,23.93,0.11
0.286,41.39,0.33,22.52,0.12
0.314,41.02,0.29,21.99,0.11
0.581,43.6,0.38,23.28,0.09
0.463,41.95,0.27,23.09,0.07
0.341,41.09,0.21,21.66,0.08
0.671,42.19,0.33,23.64,0.09
0.631,42.93,0.23,23.41,0.07
0.522,42.67,0.3,23.29,0.07
0.368,41.41,0.2,22.04,0.05
0.309,40.85,0.21,21.87,0.05
0.528,42.48,0.31,23.27,0.09
0.268,40.77,0.2,22.11,0.06
0.695,42.92,0.41,23.93,0.11
0.284,40.79,0.2,21.66,0.06
0.508,42.14,0.21,22.91,0.06
0.781,43.38,0.34,24.12,0.11
0.613,42.43,0.33,23.4,0.11
